,g^4,gamma,D(p),error,p
0,0.0,1.0,0.9968324653992546,0.013954933423195351,0.0
1,0.0,1.0,0.9690170726024621,0.009753619620487423,0.19634954084936207
2,0.0,1.0,0.8601779545734649,0.008616048400604925,0.39269908169872414
3,0.0,1.0,0.7477626823624052,0.007459415215070009,0.5890486225480862
4,0.0,1.0,0.642229553092124,0.00645320984842278,0.7853981633974483
5,0.0,1.0,0.5345492658586231,0.005397335722407277,0.9817477042468103
6,0.0,1.0,0.45153116652801145,0.004488422673352506,1.1780972450961724
7,0.0,1.0,0.3798979579459854,0.003741500523567681,1.3744467859455345
8,0.0,1.0,0.3280670386454965,0.0033176556069733003,1.5707963267948966
9,0.0,1.0,0.2935870992828083,0.0029579798346116744,1.7671458676442586
10,0.0,1.0,0.2707954671173679,0.0027381325632157183,1.9634954084936207
11,0.0,1.0,0.24464923683133744,0.0024463398089972594,2.1598449493429825
12,0.0,1.0,0.22255625262305212,0.002226244480065675,2.356194490192345
13,0.0,1.0,0.2195791806579974,0.002187184474622031,2.552544031041707
14,0.0,1.0,0.20763807891736083,0.0020685042131478983,2.748893571891069
15,0.0,1.0,0.1997937533910358,0.0019871533883973292,2.945243112740431
16,0.0,1.0,0.20248157872720277,0.002904015418108638,3.141592653589793
17,0.0,1.0,0.1997937533910358,0.001987153388397355,3.3379421944391554
18,0.0,1.0,0.2076380789173617,0.0020685042131478905,3.5342917352885173
19,0.0,1.0,0.21957918065799695,0.0021871844746220634,3.730641276137879
20,0.0,1.0,0.22255625262305362,0.0022262444800656713,3.9269908169872414
21,0.0,1.0,0.2446492368313391,0.0024463398089972395,4.123340357836604
22,0.0,1.0,0.2707954671173702,0.002738132563215699,4.319689898685965
23,0.0,1.0,0.2935870992828085,0.00295797983461166,4.516039439535327
24,0.0,1.0,0.3280670386455,0.0033176556069732747,4.71238898038469
25,0.0,1.0,0.37989795794598663,0.003741500523567678,4.908738521234052
26,0.0,1.0,0.4515311665280102,0.0044884226733525575,5.105088062083414
27,0.0,1.0,0.5345492658586246,0.0053973357224072855,5.301437602932776
28,0.0,1.0,0.6422295530921264,0.006453209848422888,5.497787143782138
29,0.0,1.0,0.747762682362406,0.007459415215070086,5.6941366846315
30,0.0,1.0,0.8601779545734672,0.008616048400604892,5.890486225480862
31,0.0,1.0,0.9690170726024626,0.009753619620487305,6.086835766330224
32,0.0,1.0,0.9968324653992546,0.013954933423195351,6.283185307179586
33,0.5,1.0,0.9307420097662942,0.013372668611882787,0.0
34,0.5,1.0,0.9241618672427114,0.009219372895220217,0.19634954084936207
35,0.5,1.0,0.8337928626325054,0.008513673864620534,0.39269908169872414
36,0.5,1.0,0.7088441583259322,0.0070240600202257555,0.5890486225480862
37,0.5,1.0,0.6014105529815257,0.00606208989908584,0.7853981633974483
38,0.5,1.0,0.5140839099895951,0.0052167642134513335,0.9817477042468103
39,0.5,1.0,0.43255713163170667,0.004296714127289911,1.1780972450961724
40,0.5,1.0,0.37655933776345685,0.0038460744041742944,1.3744467859455345
41,0.5,1.0,0.3263892272363277,0.0032815513439109667,1.5707963267948966
42,0.5,1.0,0.29309646234255665,0.0029149251904612484,1.7671458676442586
43,0.5,1.0,0.2627081363868686,0.0026208171889864737,1.9634954084936207
44,0.5,1.0,0.24090997577203094,0.0024282052980178974,2.1598449493429825
45,0.5,1.0,0.22053674401723156,0.002176298357883433,2.356194490192345
46,0.5,1.0,0.21448930123618457,0.002169025008987736,2.552544031041707
47,0.5,1.0,0.20265969964580913,0.002025534618509597,2.748893571891069
48,0.5,1.0,0.1957049702900851,0.0019194877600763837,2.945243112740431
49,0.5,1.0,0.19271865031367577,0.002724891587395139,3.141592653589793
50,0.5,1.0,0.1957049702900851,0.0019194877600763765,3.3379421944391554
51,0.5,1.0,0.20265969964580996,0.0020255346185095928,3.5342917352885173
52,0.5,1.0,0.21448930123618415,0.0021690250089877027,3.730641276137879
53,0.5,1.0,0.22053674401723297,0.0021762983578834418,3.9269908169872414
54,0.5,1.0,0.24090997577203246,0.0024282052980179156,4.123340357836604
55,0.5,1.0,0.2627081363868709,0.0026208171889865093,4.319689898685965
56,0.5,1.0,0.29309646234255676,0.0029149251904613104,4.516039439535327
57,0.5,1.0,0.3263892272363309,0.003281551343910947,4.71238898038469
58,0.5,1.0,0.37655933776345796,0.003846074404174218,4.908738521234052
59,0.5,1.0,0.4325571316317054,0.0042967141272898975,5.105088062083414
60,0.5,1.0,0.5140839099895967,0.005216764213451265,5.301437602932776
61,0.5,1.0,0.6014105529815279,0.006062089899085793,5.497787143782138
62,0.5,1.0,0.708844158325933,0.007024060020225825,5.6941366846315
63,0.5,1.0,0.8337928626325077,0.00851367386462073,5.890486225480862
64,0.5,1.0,0.9241618672427118,0.009219372895220283,6.086835766330224
65,0.5,1.0,0.9307420097662942,0.013372668611882787,6.283185307179586
66,1.0,1.0,0.8920897572110814,0.012652033001529183,0.0
67,1.0,1.0,0.8779525646676201,0.008881036260175718,0.19634954084936207
68,1.0,1.0,0.7977786077077237,0.007967461514801568,0.39269908169872414
69,1.0,1.0,0.6753790276678108,0.006662988657839468,0.5890486225480862
70,1.0,1.0,0.5890291286685416,0.005889813098843109,0.7853981633974483
71,1.0,1.0,0.5026870698226535,0.005056741129688247,0.9817477042468103
72,1.0,1.0,0.42703976531536125,0.004304238175085717,1.1780972450961724
73,1.0,1.0,0.36775522874939126,0.0036662337725856422,1.3744467859455345
74,1.0,1.0,0.32257719635841015,0.003197628831793111,1.5707963267948966
75,1.0,1.0,0.28591861416036846,0.002881761501312938,1.7671458676442586
76,1.0,1.0,0.2576393527508785,0.0025574832969955464,1.9634954084936207
77,1.0,1.0,0.23848594861020947,0.0023851321388657807,2.1598449493429825
78,1.0,1.0,0.22332758528013255,0.0022194124334425076,2.356194490192345
79,1.0,1.0,0.21190119077647152,0.002131210024169398,2.552544031041707
80,1.0,1.0,0.2027404215457655,0.0020221303078485618,2.748893571891069
81,1.0,1.0,0.19674171085098185,0.0019467246561639345,2.945243112740431
82,1.0,1.0,0.19652957625911455,0.0027094868360191446,3.141592653589793
83,1.0,1.0,0.19674171085098185,0.0019467246561639376,3.3379421944391554
84,1.0,1.0,0.20274042154576627,0.002022130307848558,3.5342917352885173
85,1.0,1.0,0.2119011907764711,0.0021312100241693624,3.730641276137879
86,1.0,1.0,0.2233275852801339,0.002219412433442481,3.9269908169872414
87,1.0,1.0,0.23848594861021097,0.0023851321388657564,4.123340357836604
88,1.0,1.0,0.2576393527508807,0.0025574832969955793,4.319689898685965
89,1.0,1.0,0.2859186141603686,0.0028817615013129075,4.516039439535327
90,1.0,1.0,0.3225771963584133,0.003197628831793067,4.71238898038469
91,1.0,1.0,0.3677552287493923,0.0036662337725856618,4.908738521234052
92,1.0,1.0,0.4270397653153601,0.004304238175085788,5.105088062083414
93,1.0,1.0,0.502687069822655,0.005056741129688333,5.301437602932776
94,1.0,1.0,0.5890291286685436,0.005889813098843006,5.497787143782138
95,1.0,1.0,0.6753790276678114,0.0066629886578393775,5.6941366846315
96,1.0,1.0,0.7977786077077258,0.007967461514801696,5.890486225480862
97,1.0,1.0,0.8779525646676204,0.008881036260175662,6.086835766330224
98,1.0,1.0,0.8920897572110814,0.012652033001529183,6.283185307179586
99,10.0,1.0,0.5295428704957515,0.007566478197886044,0.0
100,10.0,1.0,0.5117197649363766,0.005093258641498044,0.19634954084936207
101,10.0,1.0,0.4894665825790571,0.004936995573107881,0.39269908169872414
102,10.0,1.0,0.44333220514090343,0.004427014985521237,0.5890486225480862
103,10.0,1.0,0.4014052374361172,0.004090040428928013,0.7853981633974483
104,10.0,1.0,0.3601012504232947,0.003595394678959741,0.9817477042468103
105,10.0,1.0,0.3141926651144626,0.0031723162570961886,1.1780972450961724
106,10.0,1.0,0.28355681179180353,0.0028030124668423934,1.3744467859455345
107,10.0,1.0,0.2557738417725021,0.0025529707463310893,1.5707963267948966
108,10.0,1.0,0.23905333630250547,0.0023815933894638383,1.7671458676442586
109,10.0,1.0,0.21285893797608377,0.0021454498079553786,1.9634954084936207
110,10.0,1.0,0.20214330005377126,0.0020394180001127235,2.1598449493429825
111,10.0,1.0,0.19485882904625076,0.001972798077824411,2.356194490192345
112,10.0,1.0,0.17803147376784087,0.0018086122408277462,2.552544031041707
113,10.0,1.0,0.1696856805731317,0.0016822782342528816,2.748893571891069
114,10.0,1.0,0.17025724977591103,0.0016894730401966415,2.945243112740431
115,10.0,1.0,0.17159206154994575,0.0024312631434946605,3.141592653589793
116,10.0,1.0,0.17025724977591097,0.0016894730401966363,3.3379421944391554
117,10.0,1.0,0.1696856805731321,0.0016822782342528987,3.5342917352885173
118,10.0,1.0,0.17803147376784068,0.00180861224082778,3.730641276137879
119,10.0,1.0,0.1948588290462515,0.0019727980778244105,3.9269908169872414
120,10.0,1.0,0.2021433000537721,0.0020394180001127096,4.123340357836604
121,10.0,1.0,0.21285893797608504,0.0021454498079553387,4.319689898685965
122,10.0,1.0,0.2390533363025057,0.0023815933894638375,4.516039439535327
123,10.0,1.0,0.25577384177250384,0.0025529707463310845,4.71238898038469
124,10.0,1.0,0.2835568117918041,0.002803012466842417,4.908738521234052
125,10.0,1.0,0.314192665114462,0.003172316257096232,5.105088062083414
126,10.0,1.0,0.3601012504232954,0.003595394678959731,5.301437602932776
127,10.0,1.0,0.4014052374361183,0.0040900404289280065,5.497787143782138
128,10.0,1.0,0.4433322051409037,0.0044270149855212835,5.6941366846315
129,10.0,1.0,0.489466582579058,0.004936995573107984,5.890486225480862
130,10.0,1.0,0.5117197649363767,0.0050932586414980064,6.086835766330224
131,10.0,1.0,0.5295428704957515,0.007566478197886044,6.283185307179586
132,2.0,1.0,0.8055890961407447,0.01138530505452386,0.0
133,2.0,1.0,0.7888444891409433,0.00797934458133009,0.19634954084936207
134,2.0,1.0,0.7280753773915833,0.007217908374283647,0.39269908169872414
135,2.0,1.0,0.6436560398481315,0.006478143744414356,0.5890486225480862
136,2.0,1.0,0.550902346633032,0.005529367710083691,0.7853981633974483
137,2.0,1.0,0.46754042136676227,0.004714096312647076,0.9817477042468103
138,2.0,1.0,0.40512321930807926,0.004036542285759233,1.1780972450961724
139,2.0,1.0,0.3477126279531605,0.003461283499277379,1.3744467859455345
140,2.0,1.0,0.3090493275367489,0.00316169070975886,1.5707963267948966
141,2.0,1.0,0.2740201217434754,0.0027180150828467024,1.7671458676442586
142,2.0,1.0,0.24817490281303323,0.0025060088023514168,1.9634954084936207
143,2.0,1.0,0.23037287485642277,0.0022704360230543707,2.1598449493429825
144,2.0,1.0,0.2161435323609237,0.0021702307063565358,2.356194490192345
145,2.0,1.0,0.20716789397363763,0.002053411141378972,2.552544031041707
146,2.0,1.0,0.19814293669037417,0.0019607548446536763,2.748893571891069
147,2.0,1.0,0.1894540466630854,0.0019294954205084992,2.945243112740431
148,2.0,1.0,0.19366482727506223,0.0027474290509158917,3.141592653589793
149,2.0,1.0,0.1894540466630854,0.00192949542050848,3.3379421944391554
150,2.0,1.0,0.1981429366903748,0.0019607548446536655,3.5342917352885173
151,2.0,1.0,0.20716789397363733,0.00205341114137898,3.730641276137879
152,2.0,1.0,0.21614353236092493,0.0021702307063564503,3.9269908169872414
153,2.0,1.0,0.23037287485642413,0.002270436023054387,4.123340357836604
154,2.0,1.0,0.24817490281303517,0.0025060088023514367,4.319689898685965
155,2.0,1.0,0.2740201217434756,0.0027180150828467115,4.516039439535327
156,2.0,1.0,0.30904932753675185,0.0031616907097589274,4.71238898038469
157,2.0,1.0,0.34771262795316144,0.003461283499277465,4.908738521234052
158,2.0,1.0,0.40512321930807815,0.004036542285759165,5.105088062083414
159,2.0,1.0,0.46754042136676355,0.004714096312647103,5.301437602932776
160,2.0,1.0,0.5509023466330337,0.005529367710083782,5.497787143782138
161,2.0,1.0,0.643656039848132,0.006478143744414362,5.6941366846315
162,2.0,1.0,0.7280753773915851,0.007217908374283689,5.890486225480862
163,2.0,1.0,0.7888444891409437,0.007979344581330075,6.086835766330224
164,2.0,1.0,0.8055890961407447,0.01138530505452386,6.283185307179586
165,20.0,1.0,0.4049268510400207,0.005732676268000852,0.0
166,20.0,1.0,0.39335966989894283,0.003897560270385836,0.19634954084936207
167,20.0,1.0,0.376286074438718,0.003708743719776432,0.39269908169872414
168,20.0,1.0,0.3478999841409827,0.0035168200164476093,0.5890486225480862
169,20.0,1.0,0.3200277176616708,0.0031973344948121284,0.7853981633974483
170,20.0,1.0,0.2882214409495926,0.0028769699581040744,0.9817477042468103
171,20.0,1.0,0.2639928138646273,0.002633436408263018,1.1780972450961724
172,20.0,1.0,0.24022555360935438,0.0023741299836543676,1.3744467859455345
173,20.0,1.0,0.22601648229258609,0.0022637422642540505,1.5707963267948966
174,20.0,1.0,0.2060558270563393,0.0020427994579412167,1.7671458676442586
175,20.0,1.0,0.18691033383411856,0.001848065332594415,1.9634954084936207
176,20.0,1.0,0.17760416828120382,0.0017360979875879997,2.1598449493429825
177,20.0,1.0,0.16283945498145277,0.001625450522743453,2.356194490192345
178,20.0,1.0,0.15967115986539357,0.001600130449925552,2.552544031041707
179,20.0,1.0,0.15802601365799965,0.0016176201400768938,2.748893571891069
180,20.0,1.0,0.1594552802734195,0.0015643134164511948,2.945243112740431
181,20.0,1.0,0.14972633088692652,0.00211844608868048,3.141592653589793
182,20.0,1.0,0.1594552802734195,0.0015643134164512185,3.3379421944391554
183,20.0,1.0,0.15802601365799993,0.0016176201400768828,3.5342917352885173
184,20.0,1.0,0.15967115986539349,0.0016001304499255321,3.730641276137879
185,20.0,1.0,0.1628394549814533,0.0016254505227434365,3.9269908169872414
186,20.0,1.0,0.17760416828120443,0.001736097987587997,4.123340357836604
187,20.0,1.0,0.1869103338341195,0.0018480653325944145,4.319689898685965
188,20.0,1.0,0.2060558270563395,0.002042799457941236,4.516039439535327
189,20.0,1.0,0.22601648229258725,0.0022637422642540687,4.71238898038469
190,20.0,1.0,0.24022555360935485,0.002374129983654406,4.908738521234052
191,20.0,1.0,0.2639928138646269,0.002633436408263032,5.105088062083414
192,20.0,1.0,0.28822144094959307,0.0028769699581041646,5.301437602932776
193,20.0,1.0,0.32002771766167154,0.003197334494812107,5.497787143782138
194,20.0,1.0,0.347899984140983,0.003516820016447617,5.6941366846315
195,20.0,1.0,0.37628607443871853,0.003708743719776452,5.890486225480862
196,20.0,1.0,0.39335966989894294,0.003897560270385825,6.086835766330224
197,20.0,1.0,0.4049268510400207,0.005732676268000852,6.283185307179586
198,40.0,1.0,0.2902009414561149,0.004151211979478106,0.0
199,40.0,1.0,0.2837323715040189,0.002809290198848839,0.19634954084936207
200,40.0,1.0,0.2753805466713361,0.0027288214927018014,0.39269908169872414
201,40.0,1.0,0.256193238655625,0.0025667314354322307,0.5890486225480862
202,40.0,1.0,0.24609105283115124,0.0024306499656205557,0.7853981633974483
203,40.0,1.0,0.22781644827233594,0.002274648541641231,0.9817477042468103
204,40.0,1.0,0.21480955970356272,0.002123460246049852,1.1780972450961724
205,40.0,1.0,0.1948710948150033,0.0019150858210344518,1.3744467859455345
206,40.0,1.0,0.18235993344544496,0.0017978573767069431,1.5707963267948966
207,40.0,1.0,0.17057871049737983,0.0017219027293963948,1.7671458676442586
208,40.0,1.0,0.15918506048095366,0.0015980696300111714,1.9634954084936207
209,40.0,1.0,0.1510107325933294,0.0014904173094189889,2.1598449493429825
210,40.0,1.0,0.14592311260004595,0.0014765812104553606,2.356194490192345
211,40.0,1.0,0.14001245904023785,0.0014418239265754774,2.552544031041707
212,40.0,1.0,0.13578942890376106,0.001364709055447677,2.748893571891069
213,40.0,1.0,0.13290221640154778,0.0013206939607593427,2.945243112740431
214,40.0,1.0,0.12685515918355234,0.0017175729266829486,3.141592653589793
215,40.0,1.0,0.13290221640154778,0.0013206939607593635,3.3379421944391554
216,40.0,1.0,0.13578942890376128,0.0013647090554477013,3.5342917352885173
217,40.0,1.0,0.1400124590402378,0.0014418239265754991,3.730641276137879
218,40.0,1.0,0.1459231126000463,0.001476581210455333,3.9269908169872414
219,40.0,1.0,0.15101073259332978,0.0014904173094189834,4.123340357836604
220,40.0,1.0,0.15918506048095427,0.0015980696300111656,4.319689898685965
221,40.0,1.0,0.17057871049737997,0.0017219027293963922,4.516039439535327
222,40.0,1.0,0.18235993344544574,0.001797857376706969,4.71238898038469
223,40.0,1.0,0.19487109481500361,0.0019150858210344437,4.908738521234052
224,40.0,1.0,0.21480955970356244,0.0021234602460498413,5.105088062083414
225,40.0,1.0,0.22781644827233619,0.0022746485416412364,5.301437602932776
226,40.0,1.0,0.24609105283115168,0.0024306499656205267,5.497787143782138
227,40.0,1.0,0.25619323865562516,0.002566731435432313,5.6941366846315
228,40.0,1.0,0.2753805466713365,0.002728821492701847,5.890486225480862
229,40.0,1.0,0.2837323715040189,0.0028092901988488557,6.086835766330224
230,40.0,1.0,0.2902009414561149,0.004151211979478106,6.283185307179586
231,5.0,1.0,0.6583650385090403,0.009326104260604831,0.0
232,5.0,1.0,0.6388660864534933,0.006332641141646588,0.19634954084936207
233,5.0,1.0,0.5940669097049203,0.006035931828449233,0.39269908169872414
234,5.0,1.0,0.532258042910942,0.005315545110682875,0.5890486225480862
235,5.0,1.0,0.4754498284847674,0.004751593521885484,0.7853981633974483
236,5.0,1.0,0.42288565454444976,0.00415483100262977,0.9817477042468103
237,5.0,1.0,0.36439399422345103,0.003700663342404825,1.1780972450961724
238,5.0,1.0,0.31890553519084147,0.003164848418410089,1.3744467859455345
239,5.0,1.0,0.2879460659845119,0.0028605139089637756,1.5707963267948966
240,5.0,1.0,0.26030075186823276,0.0026682455580772616,1.7671458676442586
241,5.0,1.0,0.23250620571535024,0.00232536211464608,1.9634954084936207
242,5.0,1.0,0.21631065716543962,0.002157273603946951,2.1598449493429825
243,5.0,1.0,0.20354068617588647,0.0020328518710989924,2.356194490192345
244,5.0,1.0,0.19721409162968506,0.0019303987119811746,2.552544031041707
245,5.0,1.0,0.1865273135600945,0.0018681995072695565,2.748893571891069
246,5.0,1.0,0.18141480826931167,0.0018214858958751651,2.945243112740431
247,5.0,1.0,0.1817557512045693,0.0024877201177454984,3.141592653589793
248,5.0,1.0,0.18141480826931167,0.001821485895875158,3.3379421944391554
249,5.0,1.0,0.18652731356009505,0.0018681995072695808,3.5342917352885173
250,5.0,1.0,0.1972140916296848,0.0019303987119811878,3.730641276137879
251,5.0,1.0,0.20354068617588741,0.0020328518710990124,3.9269908169872414
252,5.0,1.0,0.21631065716544076,0.0021572736039469904,4.123340357836604
253,5.0,1.0,0.23250620571535183,0.002325362114646132,4.319689898685965
254,5.0,1.0,0.260300751868233,0.002668245558077279,4.516039439535327
255,5.0,1.0,0.28794606598451417,0.002860513908963827,4.71238898038469
256,5.0,1.0,0.31890553519084225,0.003164848418410139,4.908738521234052
257,5.0,1.0,0.36439399422345026,0.0037006633424048743,5.105088062083414
258,5.0,1.0,0.4228856545444507,0.004154831002629791,5.301437602932776
259,5.0,1.0,0.47544982848476874,0.004751593521885549,5.497787143782138
260,5.0,1.0,0.5322580429109425,0.005315545110683024,5.6941366846315
261,5.0,1.0,0.5940669097049215,0.006035931828449288,5.890486225480862
262,5.0,1.0,0.6388660864534935,0.006332641141646737,6.086835766330224
263,5.0,1.0,0.6583650385090403,0.009326104260604831,6.283185307179586
